kanji	on'yomi	kun'yomi	meaning	practice_data
穴	ケツ	あな	hole, aperture, slit, cave, den	[0_0_0_0_0_0_NEW]
究	キュウ	きわ・める	research, study	[0_0_0_0_0_0_NEW]
空	クウ	そら、あ・く、あ・ける、から	empty, sky, void, vacant, vacuum	[0_0_0_0_0_0_NEW]
突	トツ	つ・く	stab, protruding, thrusting, thrust, pierce, prick	[0_0_0_0_0_0_NEW]
窃	セツ		stealth, steal, secret, private, hushed	[0_0_0_0_0_0_NEW]
窒	チツ		plug up, obstruct	[0_0_0_0_0_0_NEW]
窓	ソウ	まど	window, pane	[0_0_0_0_0_0_NEW]
窮	キュウ	きわ・める、きわ・まる	hard up, destitute, suffer, perplexed, cornered	[0_0_0_0_0_0_NEW]
窯	ヨウ	かま	kiln, oven, furnace	[0_0_0_0_0_0_NEW]
立	リツ、リュウ	た・つ、た・てる	stand up	[0_0_0_0_0_0_NEW]
竜	リュウ		dragon, imperial	[0_0_0_0_0_0_NEW]
ç« 	ショウ		badge, chapter, composition, poem, design	[0_0_0_0_0_0_NEW]
童	ドウ	わらべ	juvenile, child	[0_0_0_0_0_0_NEW]
端	タン	はし、は、はた	edge, origin, end, point, border, verge, cape	[0_0_0_0_0_0_NEW]
競	キョウ、ケイ	きそ・う、せ・る	emulate, compete with, bid, sell at auction, bout, contest, race	[0_0_0_0_0_0_NEW]
竹	チク	たけ	bamboo	[0_0_0_0_0_0_NEW]
笑	ショウ	わら・う、え・む	laugh	[0_0_0_0_0_0_NEW]
笛	テキ	ふえ	flute, clarinet, pipe, whistle, bagpipe, piccolo	[0_0_0_0_0_0_NEW]
符	フ		token, sign, mark, tally, charm	[0_0_0_0_0_0_NEW]
第	ダイ		No., residence	[0_0_0_0_0_0_NEW]
筆	ヒツ	ふで	writing brush, writing, painting brush, handwriting	[0_0_0_0_0_0_NEW]
等	トウ	ひと・しい	etc., and so forth, class (1st), quality, equal, similar	[0_0_0_0_0_0_NEW]
筋	キン	すじ	muscle, sinew, tendon, fiber, plot, plan, descent	[0_0_0_0_0_0_NEW]
筒	トウ	つつ	cylinder, pipe, tube, gun barrel, sleeve	[0_0_0_0_0_0_NEW]
答	トウ	こた・える、こた・え	solution, answer	[0_0_0_0_0_0_NEW]
策	サク		scheme, plan, policy, step, means	[0_0_0_0_0_0_NEW]
箇	カ		counters for things	[0_0_0_0_0_0_NEW]
算	サン		calculate, divining, number, abacus, probability	[0_0_0_0_0_0_NEW]
管	カン	くだ	pipe, tube, wind instrument, drunken talk	[0_0_0_0_0_0_NEW]
箱		はこ	box, chest, case, bin, railway car	[0_0_0_0_0_0_NEW]
節	セツ、セチ	ふし	node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody	[0_0_0_0_0_0_NEW]
範	ハン		pattern, example, model	[0_0_0_0_0_0_NEW]
築	チク	きず・く	fabricate, build, construct	[0_0_0_0_0_0_NEW]
篤	トク		fervent, kind, cordial, serious, deliberate	[0_0_0_0_0_0_NEW]
簡	カン		simplicity, brevity	[0_0_0_0_0_0_NEW]
簿	ボ		register, record book	[0_0_0_0_0_0_NEW]
籍	セキ		enroll, domiciliary register, membership	[0_0_0_0_0_0_NEW]
米	ベイ、マイ	こめ	rice, USA	[0_0_0_0_0_0_NEW]
粉	フン	こ、こな	flour, powder, dust	[0_0_0_0_0_0_NEW]
粋	スイ		chic, style, purity, essence, pith, cream, elite, choice	[0_0_0_0_0_0_NEW]
粒	リュウ	つぶ	grains, drop, counter for tiny particles	[0_0_0_0_0_0_NEW]
粗	ソ	あら・い	coarse, rough, rugged	[0_0_0_0_0_0_NEW]
粘	ネン	ねば・る	sticky, glutinous, greasy, persevere	[0_0_0_0_0_0_NEW]
粛	シュク		solemn, quietly, softly	[0_0_0_0_0_0_NEW]
粧	ショウ		cosmetics, adorn (ones person)	[0_0_0_0_0_0_NEW]
精	セイ、ショウ		refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill	[0_0_0_0_0_0_NEW]
糖	トウ		sugar	[0_0_0_0_0_0_NEW]
糧	リョウ、ロウ	かて	provisions, food, bread	[0_0_0_0_0_0_NEW]
糸	シ	いと	thread	[0_0_0_0_0_0_NEW]
系	ケイ		lineage, system	[0_0_0_0_0_0_NEW]
糾	キュウ	あざな・う	twist, ask, investigate, verify	[0_0_0_0_0_0_NEW]
ç´€	ã'­		chronicle, account, narrative, history, annals, geologic period	[0_0_0_0_0_0_NEW]
約	ヤク		promise, approximately, shrink	[0_0_0_0_0_0_NEW]
紅	コウ、ク	べに、くれない	crimson, deep red	[0_0_0_0_0_0_NEW]
紋	モン		family crest, figures	[0_0_0_0_0_0_NEW]
納	ノウ、ナッ、ナ、ナン、トウ	おさ・める、おさ・まる	settlement, obtain, reap, pay, supply, store	[0_0_0_0_0_0_NEW]
純	ジュン		genuine, purity, innocence, net (profit)	[0_0_0_0_0_0_NEW]
紙	シ	かみ	paper	[0_0_0_0_0_0_NEW]
級	キュウ		class, rank, grade	[0_0_0_0_0_0_NEW]
紛	フン		distract, be mistaken for, go astray, divert	[0_0_0_0_0_0_NEW]
ç´ 	ソ、ス		elementary, principle, naked, uncovered	[0_0_0_0_0_0_NEW]
紡	ボウ	つむ・ぐ	spinning	[0_0_0_0_0_0_NEW]
索	サク		cord, rope	[0_0_0_0_0_0_NEW]
紫	シ	むらさき	purple, violet	[0_0_0_0_0_0_NEW]
累	ルイ		accumulate, involvement, trouble, tie up, continually	[0_0_0_0_0_0_NEW]
細	サイ	ほそ・い、ほそ・る、こま・か、こま・かい	dainty, get thin, taper, slender, narrow	[0_0_0_0_0_0_NEW]
紳	シン		sire, good belt, gentleman	[0_0_0_0_0_0_NEW]
紹	ショウ		introduce, inherit, help	[0_0_0_0_0_0_NEW]
紺	コン		dark blue, navy	[0_0_0_0_0_0_NEW]
終	シュウ	お・わる、お・える	end, finish	[0_0_0_0_0_0_NEW]
組	ソ	く・む、くみ	association, braid, plait, construct, assemble, unite, cooperate, grapple	[0_0_0_0_0_0_NEW]
経	ケイ、キョウ	へ・る、た・つ	light, small, simple, easy, low	[0_0_0_0_0_0_NEW]
結	ケツ	むす・ぶ、ゆ・う、ゆ・わえる	tie, bind, contract, join, organize, do up hair, fasten	[0_0_0_0_0_0_NEW]
絞	コウ	しぼ・る、し・める、し・まる	strangle, constrict, wring	[0_0_0_0_0_0_NEW]
絡	ラク	から・む、から・まる	entwine, coil around, get caught in	[0_0_0_0_0_0_NEW]
給	キュウ		salary, wage, gift, allow, grant, bestow on	[0_0_0_0_0_0_NEW]
統	トウ	す・べる	overall, relationship	[0_0_0_0_0_0_NEW]
絵	カイ、エ		picture, drawing, painting, sketch	[0_0_0_0_0_0_NEW]
絶	ゼツ	た・える、た・やす、た・つ	discontinue, beyond, sever, cut off, abstain, interrupt, suppress	[0_0_0_0_0_0_NEW]
絹	ケン	きぬ	silk	[0_0_0_0_0_0_NEW]
継	ケイ	つ・ぐ	inherit, succeed, patch, graft (tree)	[0_0_0_0_0_0_NEW]
続	ゾク	つづ・く、つづ・ける	continue, series, sequel	[0_0_0_0_0_0_NEW]
維	イ		fasten, support, fiber, tie, rope	[0_0_0_0_0_0_NEW]
綱	コウ	つな	hawser, class (genus), rope, cord, cable	[0_0_0_0_0_0_NEW]
網	モウ	あみ	netting, network	[0_0_0_0_0_0_NEW]
綿	メン	わた	cotton	[0_0_0_0_0_0_NEW]
緊	キン		tense, solid, hard, reliable, tight	[0_0_0_0_0_0_NEW]
総	ソウ		general, whole, all, full, total	[0_0_0_0_0_0_NEW]
緑	リョク、ロク	みどり	green	[0_0_0_0_0_0_NEW]
緒	ショ、チョ	お	thong, beginning, inception, end, cord, strap	[0_0_0_0_0_0_NEW]
線	セン		line, track	[0_0_0_0_0_0_NEW]
ç· 	テイ	し・まる、し・める	tighten, tie, shut, lock, fasten	[0_0_0_0_0_0_NEW]
編	ヘン	あ・む	compilation, knit, plait, braid, twist, editing, completed poem, part of a book	[0_0_0_0_0_0_NEW]
緩	カン	ゆる・い、ゆる・やか、ゆる・む、ゆる・める	slacken, loosen, relax, lessen, be moderate, ease	[0_0_0_0_0_0_NEW]
緯	イ		horizontal, woof, left & right, latitude	[0_0_0_0_0_0_NEW]
練	レン	ね・る	practice, gloss, train, drill, polish, refine	[0_0_0_0_0_0_NEW]
縁	エン	ふち	affinity, relation, connection, edge, border, verge, brink	[0_0_0_0_0_0_NEW]
縄	ジョウ	なわ	straw rope, cord	[0_0_0_0_0_0_NEW]
縛	バク	しば・る	truss, arrest, bind, tie, restrain	[0_0_0_0_0_0_NEW]
縦	ジュウ	たて	vertical, length, height, self-indulgent, wayward	[0_0_0_0_0_0_NEW]
縫	ホウ	ぬ・う	sew, stitch, embroider	[0_0_0_0_0_0_NEW]
縮	シュク		shrink, contract, shrivel, wrinkle, reduce	[0_0_0_0_0_0_NEW]
績	セキ		exploits, unreeling cocoons	[0_0_0_0_0_0_NEW]
繁	ハン		luxuriant, thick, overgrown, frequency, complexity, trouble	[0_0_0_0_0_0_NEW]
繊	セン		slender, fine, thin kimono	[0_0_0_0_0_0_NEW]
織	ショク、シキ	お・る	weave, fabric	[0_0_0_0_0_0_NEW]
繕	ゼン	つくろ・う	darning, repair, mend, trim, tidy up, adjust	[0_0_0_0_0_0_NEW]
繭	ケン	まゆ	cocoon	[0_0_0_0_0_0_NEW]
繰		く・る	winding, reel, spin, turn (pages), look up, refer to	[0_0_0_0_0_0_NEW]
缶	カン		tin can, container	[0_0_0_0_0_0_NEW]
罪	ザイ	つみ	guilt, sin, crime, fault, blame, offense	[0_0_0_0_0_0_NEW]
置	チ	お・く	placement, put, set, deposit, leave behind, keep, employ, pawn	[0_0_0_0_0_0_NEW]
罰	バツ	バチ	penalty, punishment	[0_0_0_0_0_0_NEW]
署	ショ		signature, govt office, police station	[0_0_0_0_0_0_NEW]
罷	ヒ		quit, stop, leave, withdraw, go	[0_0_0_0_0_0_NEW]
羅	ラ		gauze, thin silk, Rome	[0_0_0_0_0_0_NEW]
羊	ヨウ	ひつじ	sheep	[0_0_0_0_0_0_NEW]
美	ビ	うつく・しい	beauty, beautiful	[0_0_0_0_0_0_NEW]
群	グン	む・れる、む・れ、むら	flock, group, crowd, herd, swarm, cluster	[0_0_0_0_0_0_NEW]
義	ギ		righteousness, justice, morality, honor, loyalty, meaning	[0_0_0_0_0_0_NEW]
羽	ウ	は、はね	feathers	[0_0_0_0_0_0_NEW]
翁	オウ		venerable old man	[0_0_0_0_0_0_NEW]
翌	ヨク		the following, next	[0_0_0_0_0_0_NEW]
習	シュウ	なら・う	learn	[0_0_0_0_0_0_NEW]
翻	ホン	ひるがえ・る、ひるがえ・す	flip, turn over, wave, flutter, change (mind)	[0_0_0_0_0_0_NEW]
翼	ヨク	つばさ	wing, plane, flank	[0_0_0_0_0_0_NEW]
老	ロウ	お・いる、ふ・ける	old man, old age, grow old	[0_0_0_0_0_0_NEW]
考	コウ	かんが・える	consider, think over	[0_0_0_0_0_0_NEW]
者	シャ	もの	someone, person	[0_0_0_0_0_0_NEW]
耐	タイ	た・える	-proof, enduring	[0_0_0_0_0_0_NEW]
耕	コウ	たがや・す	till, plow, cultivate	[0_0_0_0_0_0_NEW]
耗	モウ、コウ		decrease	[0_0_0_0_0_0_NEW]
耳	ジ	みみ	ear	[0_0_0_0_0_0_NEW]
聖	セイ		holy, saint, sage, master, priest	[0_0_0_0_0_0_NEW]
聞	ブン、モン	き・く、き・こえる	hear, ask, listen	[0_0_0_0_0_0_NEW]
聴	チョウ	き・く	listen, headstrong, naughty, careful inquiry	[0_0_0_0_0_0_NEW]
職	ショク		post, employment, work	[0_0_0_0_0_0_NEW]
肉	ニク		meat	[0_0_0_0_0_0_NEW]
肌		はだ	texture, skin, body, grain	[0_0_0_0_0_0_NEW]
肖	ショウ		resemblance	[0_0_0_0_0_0_NEW]
肝	カン	きも	liver, pluck, nerve, chutzpah	[0_0_0_0_0_0_NEW]
è'¢	ã'·		limb, arms & legs	[0_0_0_0_0_0_NEW]
肥	ヒ	こ・える、こえ、こ・やす、こ・やし	fertilizer, get fat, fertile, manure, pamper	[0_0_0_0_0_0_NEW]
肩	ケン	かた	shoulder	[0_0_0_0_0_0_NEW]
肪	ボウ		obese, fat	[0_0_0_0_0_0_NEW]
肯	コウ		agreement, consent, comply with	[0_0_0_0_0_0_NEW]
育	イク	そだ・つ、そだ・てる	bring up, grow up, raise, rear	[0_0_0_0_0_0_NEW]
肺	ハイ		lungs	[0_0_0_0_0_0_NEW]
胃	イ		stomach, paunch, crop, craw	[0_0_0_0_0_0_NEW]
胆	タン		gall bladder, courage, pluck, nerve	[0_0_0_0_0_0_NEW]
背	ハイ	せ、せい、そむ・く、そむ・ける	stature, height, back, behind, disobey, defy, go back on, rebel	[0_0_0_0_0_0_NEW]
胎	タイ		womb, uterus	[0_0_0_0_0_0_NEW]
胞	ホウ		placenta, sac, sheath	[0_0_0_0_0_0_NEW]
胴	ドウ		trunk, body, frame	[0_0_0_0_0_0_NEW]
胸	キョウ	むね、むな	bosom, breast, chest, heart, feelings	[0_0_0_0_0_0_NEW]
能	ノウ		ability, talent, skill, capacity	[0_0_0_0_0_0_NEW]
脂	シ	あぶら	fat, grease, tallow, lard, rosin, gum, tar	[0_0_0_0_0_0_NEW]
脅	キョウ	おびや・かす、おど・す、おど・かす	threaten, coerce	[0_0_0_0_0_0_NEW]
脈	ミャク		vein, pulse, hope	[0_0_0_0_0_0_NEW]
脚	キャク、キャ	あし	skids, leg, undercarriage	[0_0_0_0_0_0_NEW]
脱	ダツ	ぬ・ぐ、ぬ・げる	undress, removing, escape from, get rid of, be left out, take off	[0_0_0_0_0_0_NEW]
脳	ノウ		brain, memory	[0_0_0_0_0_0_NEW]
脹	チョウ		dilate, distend, bulge, fill out, swell	[0_0_0_0_0_0_NEW]
腐	フ	くさ・る、くさ・れる、くさ・らす	rot, decay, sour	[0_0_0_0_0_0_NEW]
腕	ワン	うで	arm, ability, talent	[0_0_0_0_0_0_NEW]
腰	ヨウ	こし	loins, hips, waist, low wainscoting	[0_0_0_0_0_0_NEW]
腸	チョウ		intestines, guts, bowels, viscera	[0_0_0_0_0_0_NEW]
腹	フク	はら	abdomen, belly, stomach	[0_0_0_0_0_0_NEW]
膚	フ		skin, body, grain, texture, disposition	[0_0_0_0_0_0_NEW]
膜	マク		membrane	[0_0_0_0_0_0_NEW]
膨	ボウ	ふく・らむ、ふく・れる	swell, get fat, thick	[0_0_0_0_0_0_NEW]
臓	ゾウ		entrails, viscera, bowels	[0_0_0_0_0_0_NEW]
臣	シン、ジン		retainer, subject	[0_0_0_0_0_0_NEW]
臨	リン	のぞ・む	look to, face, meet, confront, attend, call on	[0_0_0_0_0_0_NEW]
自	ジ、シ	みずか・ら	oneself	[0_0_0_0_0_0_NEW]
臭	シュウ	くさ・い	stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright	[0_0_0_0_0_0_NEW]
至	シ	いた・る	climax, arrive, proceed, reach, attain, result in	[0_0_0_0_0_0_NEW]
致	チ	いた・す	doth, do, send, forward, cause, exert, incur, engage	[0_0_0_0_0_0_NEW]
興	コウ、キョウ	おこ・る、おこ・す	entertain, revive, retrieve, interest, pleasure	[0_0_0_0_0_0_NEW]
舌	ゼツ	した	tongue, reed, clapper	[0_0_0_0_0_0_NEW]
舎	シャ		cottage, inn, hut, house, mansion	[0_0_0_0_0_0_NEW]
舗	ホ		shop, store	[0_0_0_0_0_0_NEW]
舞	ブ	ま・う、ま・い	dance, flit, circle, wheel	[0_0_0_0_0_0_NEW]
舟	シュウ	ふね、ふな	boat, ship	[0_0_0_0_0_0_NEW]
航	コウ		navigate, sail, cruise, fly	[0_0_0_0_0_0_NEW]
般	ハン		carrier, carry, all	[0_0_0_0_0_0_NEW]
舶	ハク		liner, ship	[0_0_0_0_0_0_NEW]
船	セン	ふね、ふな	ship, boat	[0_0_0_0_0_0_NEW]
艇	テイ		rowboat, small boat	[0_0_0_0_0_0_NEW]
艦	カン		warship	[0_0_0_0_0_0_NEW]
良	リョウ	よ・い	good, pleasing, skilled	[0_0_0_0_0_0_NEW]
色	ショク、シキ	いろ	color	[0_0_0_0_0_0_NEW]
芋	いも		potato	[0_0_0_0_0_0_NEW]
芝		しば	turf, lawn	[0_0_0_0_0_0_NEW]
花	カ	はな	flower	[0_0_0_0_0_0_NEW]
芳	ホウ	かんば・しい	perfume, balmy, flavorable, fragrant	[0_0_0_0_0_0_NEW]
芸	ゲイ		technique, art, craft, performance, acting, trick, stunt	[0_0_0_0_0_0_NEW]
芽	ガ	め	bud, sprout, spear, germ	[0_0_0_0_0_0_NEW]
苗	ビョウ	なえ、なわ	seedling, sapling, shoot	[0_0_0_0_0_0_NEW]
若	ジャク、ニャク	わか・い、も・しくは	young, if, perhaps, possibly, low number, immature	[0_0_0_0_0_0_NEW]
苦	ク		suffering, trial, worry, hardship, feel bitter, scowl	[0_0_0_0_0_0_NEW]
英	エイ		England, English	[0_0_0_0_0_0_NEW]
茂	モ	しげ・る	overgrown, grow thick, be luxuriant	[0_0_0_0_0_0_NEW]
茎	ケイ	くき	stalk, stem	[0_0_0_0_0_0_NEW]
茶	チャ、サ		tea	[0_0_0_0_0_0_NEW]
草	ソウ	くさ	grass, weeds, herbs, pasture, write, draft	[0_0_0_0_0_0_NEW]
荒	コウ	あら・い、あ・れる、あ・らす	laid waste, rough, rude, wild	[0_0_0_0_0_0_NEW]
荘	ソウ		villa, inn, cottage, feudal manor	[0_0_0_0_0_0_NEW]
荷	カ	に	baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight	[0_0_0_0_0_0_NEW]
菊	キク		chrysanthemum	[0_0_0_0_0_0_NEW]
菌	キン		germ, fungus, bacteria	[0_0_0_0_0_0_NEW]
菓	カ		candy, cakes, fruit	[0_0_0_0_0_0_NEW]
菜	サイ	な	vegetable, side dish, greens	[0_0_0_0_0_0_NEW]
華	カ、ケ	はな	splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous	[0_0_0_0_0_0_NEW]
落	ラク	お・ちる、お・とす	fall, drop, come down	[0_0_0_0_0_0_NEW]
葉	ヨウ	は	leaf, plane, lobe, needle, blade, spear, no. of flat things	[0_0_0_0_0_0_NEW]
著	チョ	あらわ・す、いちじる・しい	renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), no. of suits, literary work	[0_0_0_0_0_0_NEW]
葬	ソウ	ほうむ・る	interment, bury, shelve	[0_0_0_0_0_0_NEW]
蒸	ジョウ	む・す、む・れる、む・らす	steam, heat, sultry, foment, get musty	[0_0_0_0_0_0_NEW]
蓄	チク	たくわ・える	amass, keeping a concubine, phonograph	[0_0_0_0_0_0_NEW]
蔵	ゾウ	くら	storehouse, hide, own, have, possess	[0_0_0_0_0_0_NEW]
薄	ハク	うす・い	dilute, thin, weak (tea)	[0_0_0_0_0_0_NEW]
薦	セン	すす・める	recommend, mat, advise, encourage, offer	[0_0_0_0_0_0_NEW]
薪	シン	たきぎ	fuel, firewood, kindling	[0_0_0_0_0_0_NEW]
薫	クン	かお・る	fragrant, be scented, smoke (cigs)	[0_0_0_0_0_0_NEW]
薬	ヤク	くすり	medicine, chemical, enamel, gunpowder, benefit	[0_0_0_0_0_0_NEW]
藩	ハン		clan, enclosure	[0_0_0_0_0_0_NEW]
藻	ソウ	も	seaweed, duckweed	[0_0_0_0_0_0_NEW]
虐	ギャク	しいた・げる	tyrannize, oppress	[0_0_0_0_0_0_NEW]
虚	キョ、コ		void, emptiness, unpreparedness, crack, fissure, untruth	[0_0_0_0_0_0_NEW]
虜	リョ		captive, barbarian, low epithet for the enemy	[0_0_0_0_0_0_NEW]
虞	グ	おそれ	uneasiness, fear, anxiety, concern	[0_0_0_0_0_0_NEW]
虫	チュウ	むし	insect, bug, temper	[0_0_0_0_0_0_NEW]
蚊	カ		mosquito	[0_0_0_0_0_0_NEW]
蚕	サン	かいこ	silkworm	[0_0_0_0_0_0_NEW]
蛇	ジャ、ダ	へび	snake, serpent, hard drinker	[0_0_0_0_0_0_NEW]
蛍	ケイ	ほたる	lightning-bug, firefly	[0_0_0_0_0_0_NEW]
蛮	バン		barbarian	[0_0_0_0_0_0_NEW]
融	ユウ		dissolve, melt	[0_0_0_0_0_0_NEW]
血	ケツ	ち	blood	[0_0_0_0_0_0_NEW]
衆	シュウ、シュ		masses, great numbers, multitude, populace	[0_0_0_0_0_0_NEW]
行	コウ、ギョウ、アン	い・く、ゆ・く、おこな・う	going, journey	[0_0_0_0_0_0_NEW]
術	ジュツ		art, technique, skill, means, trick, resources, magic	[0_0_0_0_0_0_NEW]
街	ガイ、カイ	まち	boulevard, street, town	[0_0_0_0_0_0_NEW]
衛	エイ		defense, protection	[0_0_0_0_0_0_NEW]
衝	ショウ		collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick	[0_0_0_0_0_0_NEW]
衡	コウ		equilibrium, measuring rod, scale	[0_0_0_0_0_0_NEW]
衣	イ	ころも	garment, clothes, dressing	[0_0_0_0_0_0_NEW]
表	ヒョウ	おもて、あらわ・す、あらわ・れる	surface, table, chart, diagram	[0_0_0_0_0_0_NEW]
衰	スイ	おとろ・える	decline, wane, weaken	[0_0_0_0_0_0_NEW]
衷	チュウ		inmost, heart, mind, inside	[0_0_0_0_0_0_NEW]
袋	タイ	ふくろ	sack, bag, pouch	[0_0_0_0_0_0_NEW]
被	ヒ	こうむ・る	incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving	[0_0_0_0_0_0_NEW]
裁	サイ	た・つ、さば・く	tailor, judge, decision, cut out (pattern)	[0_0_0_0_0_0_NEW]
裂	レツ	さ・く、さ・ける	split, rend, tear	[0_0_0_0_0_0_NEW]
装	ソウ、ショウ	よそお・う	attire, dress, pretend, disguise, profess	[0_0_0_0_0_0_NEW]
裏	リ	うら	back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side	[0_0_0_0_0_0_NEW]
裕	ユウ		abundant, rich, fertile	[0_0_0_0_0_0_NEW]
補	ホ	おぎな・う	supplement, supply, make good, offset, compensate, assistant, learner	[0_0_0_0_0_0_NEW]
裸	ラ	はだか	naked, nude, uncovered, partially clothed	[0_0_0_0_0_0_NEW]
製	セイ		made in..., manufacture	[0_0_0_0_0_0_NEW]
複	フク		duplicate, double, compound, multiple	[0_0_0_0_0_0_NEW]
褐	カツ		brown, woollen kimono	[0_0_0_0_0_0_NEW]
褒	ホウ	ほ・める	praise, extol	[0_0_0_0_0_0_NEW]
襟	キン	えり	collar, neck, lapel	[0_0_0_0_0_0_NEW]
襲	シュウ	おそ・う	attack, advance on, succeed to	[0_0_0_0_0_0_NEW]
西	セイ、サイ	にし	west, Spain	[0_0_0_0_0_0_NEW]
要	ヨウ	い・る	need, main point, essence, pivot, key to	[0_0_0_0_0_0_NEW]
覆	フク	おお・う、くつがえ・す、くつがえ・る	capsize, cover, shade, mantle, be ruined	[0_0_0_0_0_0_NEW]
覇	ハ		hegemony, supremacy, leadership, champion	[0_0_0_0_0_0_NEW]
見	ケン	み・る、み・える、み・せる	see, hopes, chances, idea, opinion, look at, visible	[0_0_0_0_0_0_NEW]
規	キ		standard, measure	[0_0_0_0_0_0_NEW]
視	シ		inspection, regard as, see, look at	[0_0_0_0_0_0_NEW]
覚	カク	おぼ・える、さ・ます、さ・める	memorize, learn, remember, awake, sober up	[0_0_0_0_0_0_NEW]
覧	ラン		perusal, see	[0_0_0_0_0_0_NEW]
親	シン	おや、した・しい、した・しむ	parent, intimacy, relative, familiarity, dealer (cards)	[0_0_0_0_0_0_NEW]
観	カン		outlook, look, appearance, condition, view	[0_0_0_0_0_0_NEW]
角	カク	かど、つの	angle, corner, square	[0_0_0_0_0_0_NEW]
解	カイ、ゲ	と・く、と・かす、と・ける	unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute	[0_0_0_0_0_0_NEW]
触	ショク	ふ・れる、さわ・る	contact, touch, feel, hit, proclaim, announce, conflict	[0_0_0_0_0_0_NEW]
言	ゲン、ゴン	い・う、こと	say	[0_0_0_0_0_0_NEW]
訂	テイ		revise, correct, decide	[0_0_0_0_0_0_NEW]
計	ケイ	はか・る、はか・らう	plot, plan, scheme, measure	[0_0_0_0_0_0_NEW]
討	トウ	う・つ	chastise, attack, defeat, destroy, conquer	[0_0_0_0_0_0_NEW]
訓	クン		instruction, Japanese character reading, explanation, read	[0_0_0_0_0_0_NEW]
託	タク		consign, requesting, entrusting with, pretend, hint	[0_0_0_0_0_0_NEW]
記	キ	しる・す	scribe, account, narrative	[0_0_0_0_0_0_NEW]
訟	ショウ		sue, accuse	[0_0_0_0_0_0_NEW]
訪	ホウ	おとず・れる、たず・ねる	call on, visit, look up, offer sympathy	[0_0_0_0_0_0_NEW]
設	セツ	もう・ける	establishment, provision, prepare	[0_0_0_0_0_0_NEW]
許	キョ	ゆる・す	permit, approve	[0_0_0_0_0_0_NEW]
訳	ヤク	わけ	translate, reason, circumstance, case	[0_0_0_0_0_0_NEW]
訴	ソ	うった・える	accusation, sue, complain of pain, appeal to	[0_0_0_0_0_0_NEW]
診	シン	み・る	checkup, seeing, diagnose, examine	[0_0_0_0_0_0_NEW]
証	ショウ	あかし	evidence, proof, certificate	[0_0_0_0_0_0_NEW]
詐	サ		lie, falsehood, deceive, pretend	[0_0_0_0_0_0_NEW]
詔	ショウ	みことのり	imperial edict	[0_0_0_0_0_0_NEW]
評	ヒョウ		evaluate, criticism, comment	[0_0_0_0_0_0_NEW]
è©ž	ã'·		part of speech, words, poetry	[0_0_0_0_0_0_NEW]
è© 	エイ	よ・む	recitation, poem, song, composing	[0_0_0_0_0_0_NEW]
試	シ	こころ・みる、ため・す	test, try, attempt, experiment, ordeal	[0_0_0_0_0_0_NEW]
è©©	ã'·		poem, poetry	[0_0_0_0_0_0_NEW]
詰	キツ	つ・める、つ・まる、つ・む	packed, close, pressed, reprove, rebuke, blame	[0_0_0_0_0_0_NEW]
話	ワ	はな・す、はなし	tale, talk	[0_0_0_0_0_0_NEW]
該	ガイ		above-stated, the said, that specific	[0_0_0_0_0_0_NEW]
詳	ショウ	くわ・しい	detailed, full, minute, accurate, well-informed	[0_0_0_0_0_0_NEW]
誇	コ	ほこ・る	boast, be proud, pride, triumphantly	[0_0_0_0_0_0_NEW]
誉	ヨ	ほまれ	reputation, praise, honor, glory	[0_0_0_0_0_0_NEW]
誌	シ		document, records	[0_0_0_0_0_0_NEW]
認	ニン	みと・める	acknowledge, witness, discern, recognize, appreciate, believe	[0_0_0_0_0_0_NEW]
誓	セイ	ちか・う	vow, swear, pledge	[0_0_0_0_0_0_NEW]
誕	タン		nativity, be born, declension, lie, be arbitrary	[0_0_0_0_0_0_NEW]
誘	ユウ	さそ・う	entice, lead, tempt, invite, ask, call for, seduce, allure	[0_0_0_0_0_0_NEW]
語	ゴ	かた・る、かた・らう	word, speech, language	[0_0_0_0_0_0_NEW]
èª 	セイ	まこと	sincerity, admonish, warn, prohibit, truth, fidelity	[0_0_0_0_0_0_NEW]
誤	ゴ	あやま・る	mistake, err, do wrong, mislead	[0_0_0_0_0_0_NEW]
説	セツ、ゼイ	と・く	rumor, opinion, theory	[0_0_0_0_0_0_NEW]
読	ド、ク、トク、トウ	よ・む	to read	[0_0_0_0_0_0_NEW]
課	カ		chapter, lesson, section, department, division	[0_0_0_0_0_0_NEW]
調	チョウ	しら・べる、ととの・う、ととの・える	tune, tone, meter, key (music), writing style, prepare, exorcise, investigate	[0_0_0_0_0_0_NEW]
談	ダン		discuss, talk	[0_0_0_0_0_0_NEW]
請	セイ、シン	こ・う、う・ける	solicit, invite, ask	[0_0_0_0_0_0_NEW]
